,ID,TMC,Severity,Start_Time,End_Time,City,County,State,Zipcode,Country,Temperature(F),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition,Sunrise_Sunset,Stop,Traffic_Signal,Weekday,Month,Day,Year,Season
2544,A-608986,201,2,2020-09-18,2020-09-18,Phoenix,Maricopa,AZ,85009,US,81.0,10.0,7.0,0.0,Fair,Day,True,False,Friday,9,18,2020,Autumn
2547,A-608989,201,2,2020-09-18,2020-09-18,Phoenix,Maricopa,AZ,85051,US,81.0,10.0,0.0,0.0,Fair,Day,True,False,Friday,9,18,2020,Autumn
2548,A-608990,201,2,2020-09-18,2020-09-18,Phoenix,Maricopa,AZ,85027,US,81.0,10.0,0.0,0.0,Fair,Day,False,False,Friday,9,18,2020,Autumn
2551,A-608993,201,2,2020-09-18,2020-09-18,Glendale,Maricopa,AZ,85302,US,83.0,10.0,5.0,0.0,Fair,Day,False,False,Friday,9,18,2020,Autumn
2552,A-608994,201,2,2020-09-18,2020-09-18,Tempe,Maricopa,AZ,85282,US,99.0,10.0,13.0,0.0,Fair,Day,False,False,Friday,9,18,2020,Autumn
2553,A-608995,201,3,2020-09-18,2020-09-18,Phoenix,Maricopa,AZ,85040,US,102.0,10.0,13.0,0.0,Fair,Day,False,False,Friday,9,18,2020,Autumn
2559,A-609001,201,2,2020-09-18,2020-09-18,Peoria,Maricopa,AZ,85383,US,102.0,10.0,8.0,0.0,Fair,Day,False,False,Friday,9,18,2020,Autumn
2566,A-609008,201,2,2020-09-18,2020-09-18,Peoria,Maricopa,AZ,85345,US,104.0,10.0,0.0,0.0,Fair,Day,False,False,Friday,9,18,2020,Autumn
2567,A-609009,201,2,2020-09-18,2020-09-18,Phoenix,Maricopa,AZ,85024,US,103.0,10.0,5.0,0.0,Fair,Day,False,False,Friday,9,18,2020,Autumn
2568,A-609010,201,2,2020-09-18,2020-09-18,Phoenix,Maricopa,AZ,85050,US,103.0,10.0,5.0,0.0,Fair,Day,False,False,Friday,9,18,2020,Autumn
2571,A-609013,201,2,2020-09-18,2020-09-18,Mesa,Maricopa,AZ,85204,US,106.0,10.0,3.0,0.0,Fair,Day,False,False,Friday,9,18,2020,Autumn
2572,A-609014,201,2,2020-09-18,2020-09-18,Phoenix,Maricopa,AZ,85032,US,103.0,10.0,0.0,0.0,Fair,Day,False,True,Friday,9,18,2020,Autumn
2573,A-609015,201,2,2020-09-18,2020-09-18,Mesa,Maricopa,AZ,85207,US,106.0,10.0,3.0,0.0,Fair,Day,False,False,Friday,9,18,2020,Autumn
2574,A-609016,245,3,2020-09-18,2020-09-18,Phoenix,Maricopa,AZ,85003,US,106.0,10.0,3.0,0.0,Fair,Day,False,True,Friday,9,18,2020,Autumn
2575,A-609017,201,3,2020-09-18,2020-09-18,Phoenix,Maricopa,AZ,85017,US,106.0,10.0,3.0,0.0,Fair,Day,False,True,Friday,9,18,2020,Autumn
2577,A-609019,201,3,2020-09-18,2020-09-18,Phoenix,Maricopa,AZ,85007,US,106.0,10.0,3.0,0.0,Fair,Day,False,False,Friday,9,18,2020,Autumn
2581,A-609023,201,3,2020-09-18,2020-09-18,Phoenix,Maricopa,AZ,85009,US,103.0,10.0,0.0,0.0,Fair,Night,False,False,Friday,9,18,2020,Autumn
2587,A-609711,201,2,2020-09-19,2020-09-19,Buckeye,Maricopa,AZ,85396,US,93.0,10.0,15.0,0.0,Fair,Day,False,False,Saturday,9,19,2020,Autumn
2590,A-609714,245,3,2020-09-19,2020-09-19,Phoenix,Maricopa,AZ,85021,US,83.0,10.0,6.0,0.0,Fair,Day,False,False,Saturday,9,19,2020,Autumn
2591,A-609715,241,3,2020-09-19,2020-09-19,Phoenix,Maricopa,AZ,85015,US,82.0,10.0,9.0,0.0,Fair,Day,False,True,Saturday,9,19,2020,Autumn
2592,A-609716,201,2,2020-09-19,2020-09-19,Phoenix,Maricopa,AZ,85034,US,102.0,10.0,8.0,0.0,Fair,Day,False,False,Saturday,9,19,2020,Autumn
2594,A-609718,201,3,2020-09-19,2020-09-19,Phoenix,Maricopa,AZ,85006,US,103.0,10.0,6.0,0.0,Fair,Day,False,True,Saturday,9,19,2020,Autumn
2595,A-610257,201,3,2020-09-20,2020-09-20,Phoenix,Maricopa,AZ,85015,US,85.0,10.0,3.0,0.0,Fair,Day,False,False,Sunday,9,20,2020,Autumn
2598,A-611782,201,3,2020-09-21,2020-09-21,Phoenix,Maricopa,AZ,85009,US,82.0,10.0,5.0,0.0,Mostly Cloudy,Night,False,False,Monday,9,21,2020,Autumn
2599,A-611783,201,2,2020-09-21,2020-09-21,Phoenix,Maricopa,AZ,85013,US,82.0,10.0,7.0,0.0,Partly Cloudy,Day,False,True,Monday,9,21,2020,Autumn
2600,A-611784,201,2,2020-09-21,2020-09-21,Glendale,Maricopa,AZ,85308,US,89.0,10.0,6.0,0.0,Fair,Day,False,False,Monday,9,21,2020,Autumn
2601,A-611785,201,3,2020-09-21,2020-09-21,New River,Maricopa,AZ,85087,US,91.0,10.0,3.0,0.0,Fair,Day,False,False,Monday,9,21,2020,Autumn
2605,A-611789,201,3,2020-09-21,2020-09-21,Phoenix,Maricopa,AZ,85015,US,101.0,10.0,8.0,0.0,Fair,Day,False,False,Monday,9,21,2020,Autumn
2607,A-611791,201,2,2020-09-21,2020-09-21,Phoenix,Maricopa,AZ,85043,US,100.0,10.0,7.0,0.0,Fair,Day,False,True,Monday,9,21,2020,Autumn
2610,A-611794,201,3,2020-09-21,2020-09-21,Phoenix,Maricopa,AZ,85043,US,101.0,10.0,15.0,0.0,Partly Cloudy,Day,False,False,Monday,9,21,2020,Autumn
2613,A-611797,201,2,2020-09-21,2020-09-21,Phoenix,Maricopa,AZ,85043,US,102.0,10.0,13.0,0.0,Fair,Day,False,False,Monday,9,21,2020,Autumn
2614,A-611798,201,2,2020-09-21,2020-09-21,Mesa,Maricopa,AZ,85210,US,102.0,10.0,16.0,0.0,Fair,Day,False,False,Monday,9,21,2020,Autumn
2615,A-611799,201,3,2020-09-21,2020-09-21,Phoenix,Maricopa,AZ,85009,US,102.0,10.0,16.0,0.0,Fair,Day,False,False,Monday,9,21,2020,Autumn
2617,A-613416,201,2,2020-09-22,2020-09-22,Buckeye,Maricopa,AZ,85396,US,99.0,8.0,6.0,0.0,Fair,Day,False,False,Tuesday,9,22,2020,Autumn
2619,A-613418,201,2,2020-09-22,2020-09-22,Phoenix,Maricopa,AZ,85043,US,84.0,10.0,3.0,0.0,Light Rain,Day,False,False,Tuesday,9,22,2020,Autumn
2622,A-613421,201,2,2020-09-22,2020-09-22,Phoenix,Maricopa,AZ,85029,US,86.0,8.0,3.0,0.0,Fair,Day,False,False,Tuesday,9,22,2020,Autumn
2623,A-613422,201,2,2020-09-22,2020-09-22,Phoenix,Maricopa,AZ,85033,US,82.0,10.0,5.0,0.0,Partly Cloudy,Day,False,True,Tuesday,9,22,2020,Autumn
2626,A-613425,201,3,2020-09-22,2020-09-22,Phoenix,Maricopa,AZ,85009,US,89.0,10.0,10.0,0.0,Mostly Cloudy,Day,False,False,Tuesday,9,22,2020,Autumn
2628,A-613427,201,2,2020-09-22,2020-09-22,Phoenix,Maricopa,AZ,85024,US,96.0,10.0,10.0,0.0,Fair,Day,False,True,Tuesday,9,22,2020,Autumn
2629,A-613428,201,2,2020-09-22,2020-09-22,Tempe,Maricopa,AZ,85281,US,101.0,10.0,9.0,0.0,Fair,Day,False,True,Tuesday,9,22,2020,Autumn
2630,A-613429,201,3,2020-09-22,2020-09-22,Phoenix,Maricopa,AZ,85009,US,101.0,10.0,9.0,0.0,Fair,Day,False,False,Tuesday,9,22,2020,Autumn
2632,A-613431,201,2,2020-09-22,2020-09-22,Phoenix,Maricopa,AZ,85032,US,99.0,10.0,6.0,0.0,Fair,Day,False,True,Tuesday,9,22,2020,Autumn
2636,A-613435,201,3,2020-09-22,2020-09-22,Phoenix,Maricopa,AZ,85004,US,100.0,10.0,3.0,0.0,Fair,Day,False,True,Tuesday,9,22,2020,Autumn
2637,A-613436,201,2,2020-09-22,2020-09-22,Scottsdale,Maricopa,AZ,85251,US,100.0,10.0,3.0,0.0,Fair,Day,False,True,Tuesday,9,22,2020,Autumn
2642,A-613441,201,2,2020-09-22,2020-09-22,Paradise Valley,Maricopa,AZ,85253,US,98.0,10.0,5.0,0.0,Fair,Day,False,True,Tuesday,9,22,2020,Autumn
2643,A-613442,201,3,2020-09-22,2020-09-22,Phoenix,Maricopa,AZ,85009,US,100.0,10.0,10.0,0.0,Fair,Day,False,False,Tuesday,9,22,2020,Autumn
2644,A-613443,201,3,2020-09-22,2020-09-22,Phoenix,Maricopa,AZ,85017,US,98.0,10.0,10.0,0.0,Fair,Night,False,True,Tuesday,9,22,2020,Autumn
2645,A-613444,201,3,2020-09-22,2020-09-22,Fort McDowell,Maricopa,AZ,85264,US,98.0,10.0,10.0,0.0,Fair,Night,False,False,Tuesday,9,22,2020,Autumn
2646,A-613445,201,2,2020-09-22,2020-09-22,Mesa,Maricopa,AZ,85213,US,97.0,10.0,6.0,0.0,Fair,Night,False,True,Tuesday,9,22,2020,Autumn
2647,A-615018,201,2,2020-09-23,2020-09-23,Surprise,Maricopa,AZ,85388,US,74.0,10.0,0.0,0.0,Fair,Day,False,False,Wednesday,9,23,2020,Autumn
2651,A-615022,201,2,2020-09-23,2020-09-23,Phoenix,Maricopa,AZ,85042,US,81.0,10.0,3.0,0.0,Fair,Night,False,True,Wednesday,9,23,2020,Autumn
2653,A-615024,201,2,2020-09-23,2020-09-23,Phoenix,Maricopa,AZ,85043,US,76.0,10.0,0.0,0.0,Fair,Night,False,True,Wednesday,9,23,2020,Autumn
2656,A-615027,201,2,2020-09-23,2020-09-23,Phoenix,Maricopa,AZ,85023,US,75.0,10.0,0.0,0.0,Fair,Day,True,False,Wednesday,9,23,2020,Autumn
2658,A-615029,201,3,2020-09-23,2020-09-23,Tempe,Maricopa,AZ,85284,US,79.0,10.0,5.0,0.0,Fair,Day,False,False,Wednesday,9,23,2020,Autumn
2659,A-615030,201,2,2020-09-23,2020-09-23,Phoenix,Maricopa,AZ,85027,US,83.0,10.0,3.0,0.0,Fair,Day,False,False,Wednesday,9,23,2020,Autumn
2660,A-615031,201,2,2020-09-23,2020-09-23,Glendale,Maricopa,AZ,85306,US,83.0,10.0,3.0,0.0,Fair,Day,False,True,Wednesday,9,23,2020,Autumn
2661,A-615032,201,2,2020-09-23,2020-09-23,Tempe,Maricopa,AZ,85282,US,84.0,10.0,3.0,0.0,Fair,Day,False,False,Wednesday,9,23,2020,Autumn
2662,A-615033,201,2,2020-09-23,2020-09-23,Phoenix,Maricopa,AZ,85035,US,88.0,10.0,3.0,0.0,Fair,Day,False,True,Wednesday,9,23,2020,Autumn
2663,A-615034,201,2,2020-09-23,2020-09-23,Phoenix,Maricopa,AZ,85029,US,88.0,10.0,3.0,0.0,Fair,Day,False,False,Wednesday,9,23,2020,Autumn
2665,A-615036,245,3,2020-09-23,2020-09-23,Phoenix,Maricopa,AZ,85006,US,101.0,10.0,10.0,0.0,Fair,Day,False,True,Wednesday,9,23,2020,Autumn
2666,A-615037,201,3,2020-09-23,2020-09-23,Phoenix,Maricopa,AZ,85015,US,101.0,10.0,10.0,0.0,Fair,Day,False,False,Wednesday,9,23,2020,Autumn
2672,A-615043,201,2,2020-09-23,2020-09-23,Phoenix,Maricopa,AZ,85037,US,104.0,10.0,12.0,0.0,Fair,Day,False,True,Wednesday,9,23,2020,Autumn
2673,A-615044,201,2,2020-09-23,2020-09-23,Phoenix,Maricopa,AZ,85008,US,104.0,10.0,13.0,0.0,Fair,Day,False,True,Wednesday,9,23,2020,Autumn
2675,A-615046,201,2,2020-09-23,2020-09-23,Mesa,Maricopa,AZ,85201,US,104.0,10.0,13.0,0.0,Fair,Day,False,False,Wednesday,9,23,2020,Autumn
2676,A-615047,201,2,2020-09-23,2020-09-23,Phoenix,Maricopa,AZ,85024,US,101.0,10.0,13.0,0.0,Fair,Day,False,True,Wednesday,9,23,2020,Autumn
2679,A-616710,201,3,2020-09-24,2020-09-24,Buckeye,Maricopa,AZ,85326,US,104.0,10.0,6.0,0.0,Fair,Day,False,False,Thursday,9,24,2020,Autumn
2684,A-616715,201,2,2020-09-24,2020-09-24,Mesa,Maricopa,AZ,85204,US,79.0,10.0,0.0,0.0,Fair,Day,False,False,Thursday,9,24,2020,Autumn
2688,A-616719,201,2,2020-09-24,2020-09-24,Phoenix,Maricopa,AZ,85048,US,79.0,10.0,5.0,0.0,Fair,Day,False,True,Thursday,9,24,2020,Autumn
2689,A-616720,201,2,2020-09-24,2020-09-24,Phoenix,Maricopa,AZ,85017,US,86.0,10.0,6.0,0.0,Fair,Day,True,False,Thursday,9,24,2020,Autumn
2693,A-616724,201,2,2020-09-24,2020-09-24,Phoenix,Maricopa,AZ,85016,US,103.0,10.0,6.0,0.0,Fair,Day,False,False,Thursday,9,24,2020,Autumn
2694,A-616725,201,2,2020-09-24,2020-09-24,Gilbert,Maricopa,AZ,85295,US,100.0,10.0,12.0,0.0,Fair,Day,False,True,Thursday,9,24,2020,Autumn
2696,A-616727,241,2,2020-09-24,2020-09-24,Scottsdale,Maricopa,AZ,85258,US,101.0,10.0,0.0,0.0,Fair,Day,False,False,Thursday,9,24,2020,Autumn
2697,A-616728,201,2,2020-09-24,2020-09-24,Sun City,Maricopa,AZ,85351,US,104.0,10.0,8.0,0.0,Fair,Day,False,True,Thursday,9,24,2020,Autumn
2701,A-616732,201,2,2020-09-24,2020-09-24,Phoenix,Maricopa,AZ,85024,US,102.0,10.0,10.0,0.0,Fair,Day,False,True,Thursday,9,24,2020,Autumn
2704,A-616735,201,3,2020-09-24,2020-09-24,Phoenix,Maricopa,AZ,85004,US,106.0,10.0,12.0,0.0,Fair,Day,False,True,Thursday,9,24,2020,Autumn
2707,A-616738,201,2,2020-09-24,2020-09-24,Tempe,Maricopa,AZ,85282,US,104.0,10.0,8.0,0.0,Fair,Day,False,False,Thursday,9,24,2020,Autumn
2708,A-616739,241,2,2020-09-24,2020-09-24,Phoenix,Maricopa,AZ,85008,US,104.0,10.0,8.0,0.0,Fair,Day,False,False,Thursday,9,24,2020,Autumn
2709,A-616740,201,2,2020-09-24,2020-09-24,Mesa,Maricopa,AZ,85210,US,102.0,10.0,12.0,0.0,Fair,Night,False,False,Thursday,9,24,2020,Autumn
2712,A-618506,201,2,2020-09-25,2020-09-25,Phoenix,Maricopa,AZ,85031,US,76.0,10.0,6.0,0.0,Fair,Day,False,True,Friday,9,25,2020,Autumn
2714,A-618508,201,2,2020-09-25,2020-09-25,Phoenix,Maricopa,AZ,85043,US,75.0,10.0,3.0,0.0,Fair,Day,False,False,Friday,9,25,2020,Autumn
2715,A-618509,241,3,2020-09-25,2020-09-25,Phoenix,Maricopa,AZ,85021,US,74.0,10.0,0.0,0.0,Fair,Day,False,False,Friday,9,25,2020,Autumn
2716,A-618510,201,2,2020-09-25,2020-09-25,Phoenix,Maricopa,AZ,85017,US,79.0,10.0,8.0,0.0,Fair,Day,False,True,Friday,9,25,2020,Autumn
2718,A-618512,201,2,2020-09-25,2020-09-25,Avondale,Maricopa,AZ,85392,US,75.0,10.0,3.0,0.0,Fair,Day,False,False,Friday,9,25,2020,Autumn
2720,A-618514,241,2,2020-09-25,2020-09-25,Scottsdale,Maricopa,AZ,85262,US,84.0,10.0,0.0,0.0,Fair,Day,False,False,Friday,9,25,2020,Autumn
2723,A-618517,201,3,2020-09-25,2020-09-25,Phoenix,Maricopa,AZ,85003,US,104.0,10.0,5.0,0.0,Fair,Day,False,True,Friday,9,25,2020,Autumn
2728,A-618522,201,2,2020-09-25,2020-09-25,Laveen,Maricopa,AZ,85339,US,102.0,10.0,8.0,0.0,Fair,Night,False,True,Friday,9,25,2020,Autumn
2729,A-618523,201,2,2020-09-25,2020-09-25,Glendale,Maricopa,AZ,85305,US,101.0,10.0,6.0,0.0,Fair,Night,False,True,Friday,9,25,2020,Autumn
2731,A-618525,201,2,2020-09-25,2020-09-25,Glendale,Maricopa,AZ,85302,US,96.0,10.0,3.0,0.0,Fair,Night,True,False,Friday,9,25,2020,Autumn
2732,A-618526,201,2,2020-09-25,2020-09-25,Phoenix,Maricopa,AZ,85035,US,96.0,10.0,3.0,0.0,Fair,Night,False,True,Friday,9,25,2020,Autumn
2738,A-618532,201,2,2020-09-25,2020-09-25,Peoria,Maricopa,AZ,85345,US,93.0,10.0,7.0,0.0,Fair,Night,False,False,Friday,9,25,2020,Autumn
2740,A-619258,201,3,2020-09-26,2020-09-26,Buckeye,Maricopa,AZ,85326,US,91.0,9.0,7.0,0.0,Fair,Day,False,False,Saturday,9,26,2020,Autumn
2741,A-619259,201,3,2020-09-26,2020-09-26,Phoenix,Maricopa,AZ,85009,US,81.0,10.0,6.0,0.0,Fair,Night,False,False,Saturday,9,26,2020,Autumn
2745,A-619263,241,2,2020-09-26,2020-09-26,Phoenix,Maricopa,AZ,85037,US,90.0,10.0,5.0,0.0,Fair,Day,False,False,Saturday,9,26,2020,Autumn
2746,A-619264,241,2,2020-09-26,2020-09-26,Scottsdale,Maricopa,AZ,85256,US,93.0,10.0,6.0,0.0,Fair,Day,False,False,Saturday,9,26,2020,Autumn
2748,A-619266,201,3,2020-09-26,2020-09-26,Tempe,Maricopa,AZ,85282,US,99.0,10.0,5.0,0.0,Fair,Day,False,False,Saturday,9,26,2020,Autumn
2749,A-619267,245,2,2020-09-26,2020-09-26,Mesa,Maricopa,AZ,85209,US,99.0,10.0,7.0,0.0,Fair,Day,False,False,Saturday,9,26,2020,Autumn
2750,A-619268,201,3,2020-09-26,2020-09-26,Phoenix,Maricopa,AZ,85085,US,97.0,10.0,3.0,0.0,Fair,Day,False,False,Saturday,9,26,2020,Autumn
2752,A-619812,201,3,2020-09-27,2020-09-27,Phoenix,Maricopa,AZ,85003,US,99.0,10.0,10.0,0.0,Fair,Night,False,True,Sunday,9,27,2020,Autumn
2759,A-621442,245,2,2020-09-28,2020-09-28,Phoenix,Maricopa,AZ,85045,US,76.0,10.0,7.0,0.0,Fair,Day,False,True,Monday,9,28,2020,Autumn
2760,A-621443,201,2,2020-09-28,2020-09-28,Fort McDowell,Maricopa,AZ,85264,US,79.0,10.0,9.0,0.0,Fair,Day,False,True,Monday,9,28,2020,Autumn
2761,A-621444,201,2,2020-09-28,2020-09-28,Tolleson,Maricopa,AZ,85353,US,82.0,10.0,0.0,0.0,Fair,Day,False,False,Monday,9,28,2020,Autumn
2762,A-621445,241,2,2020-09-28,2020-09-28,Scottsdale,Maricopa,AZ,85256,US,93.0,10.0,0.0,0.0,Fair,Day,False,True,Monday,9,28,2020,Autumn
2763,A-621446,406,2,2020-09-28,2020-09-28,Mesa,Maricopa,AZ,85201,US,97.0,10.0,6.0,0.0,Fair,Day,False,False,Monday,9,28,2020,Autumn
2765,A-621448,201,3,2020-09-28,2020-09-28,Phoenix,Maricopa,AZ,85006,US,102.0,10.0,0.0,0.0,Partly Cloudy,Day,False,False,Monday,9,28,2020,Autumn
2766,A-621449,201,2,2020-09-28,2020-09-28,Tempe,Maricopa,AZ,85282,US,102.0,10.0,0.0,0.0,Partly Cloudy,Day,False,False,Monday,9,28,2020,Autumn
2767,A-621450,201,2,2020-09-28,2020-09-28,Tempe,Maricopa,AZ,85283,US,102.0,10.0,0.0,0.0,Partly Cloudy,Day,False,False,Monday,9,28,2020,Autumn
2769,A-621452,201,2,2020-09-28,2020-09-28,Peoria,Maricopa,AZ,85345,US,101.0,10.0,8.0,0.0,Fair,Day,False,False,Monday,9,28,2020,Autumn
2771,A-623104,201,2,2020-09-29,2020-09-29,Gila Bend,Maricopa,AZ,85337,US,95.0,7.0,12.0,0.0,Fair,Day,False,False,Tuesday,9,29,2020,Autumn
2775,A-623108,201,2,2020-09-29,2020-09-29,Mesa,Maricopa,AZ,85206,US,79.0,10.0,5.0,0.0,Fair,Day,False,False,Tuesday,9,29,2020,Autumn
2782,A-623115,201,2,2020-09-29,2020-09-29,Phoenix,Maricopa,AZ,85035,US,85.0,10.0,7.0,0.0,Fair,Day,False,True,Tuesday,9,29,2020,Autumn
2783,A-623116,201,2,2020-09-29,2020-09-29,Sun City,Maricopa,AZ,85351,US,85.0,10.0,7.0,0.0,Fair,Day,False,True,Tuesday,9,29,2020,Autumn
2784,A-623117,241,2,2020-09-29,2020-09-29,Glendale,Maricopa,AZ,85306,US,91.0,10.0,8.0,0.0,Fair,Day,True,False,Tuesday,9,29,2020,Autumn
2786,A-623119,201,2,2020-09-29,2020-09-29,Phoenix,Maricopa,AZ,85031,US,96.0,10.0,0.0,0.0,Fair,Day,False,False,Tuesday,9,29,2020,Autumn
2787,A-623120,201,2,2020-09-29,2020-09-29,Mesa,Maricopa,AZ,85208,US,97.0,10.0,5.0,0.0,Fair,Day,False,False,Tuesday,9,29,2020,Autumn
2789,A-623122,201,2,2020-09-29,2020-09-29,Mesa,Maricopa,AZ,85204,US,99.0,10.0,0.0,0.0,Fair,Day,False,False,Tuesday,9,29,2020,Autumn
2792,A-623125,201,2,2020-09-29,2020-09-29,Paradise Valley,Maricopa,AZ,85253,US,100.0,10.0,5.0,0.0,Fair,Day,False,False,Tuesday,9,29,2020,Autumn
2793,A-623126,201,2,2020-09-29,2020-09-29,Phoenix,Maricopa,AZ,85050,US,98.0,10.0,5.0,0.0,Fair,Day,False,True,Tuesday,9,29,2020,Autumn
2795,A-623128,201,2,2020-09-29,2020-09-29,Phoenix,Maricopa,AZ,85007,US,99.0,10.0,0.0,0.0,Fair,Day,False,True,Tuesday,9,29,2020,Autumn
2797,A-623130,201,2,2020-09-29,2020-09-29,Phoenix,Maricopa,AZ,85028,US,99.0,10.0,5.0,0.0,Fair,Day,False,False,Tuesday,9,29,2020,Autumn
2798,A-623131,201,2,2020-09-29,2020-09-29,Mesa,Maricopa,AZ,85204,US,100.0,10.0,3.0,0.0,Fair,Day,False,False,Tuesday,9,29,2020,Autumn
2799,A-623132,201,3,2020-09-29,2020-09-29,Phoenix,Maricopa,AZ,85007,US,100.0,10.0,3.0,0.0,Fair,Day,False,False,Tuesday,9,29,2020,Autumn
2800,A-623133,201,3,2020-09-29,2020-09-29,Phoenix,Maricopa,AZ,85043,US,98.0,10.0,0.0,0.0,Fair,Night,False,False,Tuesday,9,29,2020,Autumn
2801,A-623134,201,3,2020-09-29,2020-09-29,Phoenix,Maricopa,AZ,85009,US,98.0,10.0,7.0,0.0,Fair,Night,False,False,Tuesday,9,29,2020,Autumn
2802,A-623135,201,3,2020-09-29,2020-09-29,Phoenix,Maricopa,AZ,85085,US,87.0,10.0,0.0,0.0,Fair,Night,False,False,Tuesday,9,29,2020,Autumn
2803,A-624829,343,4,2020-09-30,2020-09-30,Tonopah,Maricopa,AZ,85354,US,86.0,9.0,3.0,0.0,Fair,Day,False,False,Wednesday,9,30,2020,Autumn
2809,A-624835,201,2,2020-09-30,2020-09-30,Goodyear,Maricopa,AZ,85395,US,103.0,10.0,6.0,0.0,Fair,Day,False,True,Wednesday,9,30,2020,Autumn
2810,A-624836,201,2,2020-09-30,2020-09-30,Tempe,Maricopa,AZ,85283,US,78.0,10.0,5.0,0.0,Fair,Day,False,True,Wednesday,9,30,2020,Autumn
2813,A-624839,201,2,2020-09-30,2020-09-30,Scottsdale,Maricopa,AZ,85260,US,82.0,10.0,0.0,0.0,Fair,Day,False,True,Wednesday,9,30,2020,Autumn
2814,A-624840,245,2,2020-09-30,2020-09-30,Sun City,Maricopa,AZ,85351,US,89.0,10.0,5.0,0.0,Fair,Day,False,True,Wednesday,9,30,2020,Autumn
2817,A-624843,201,2,2020-09-30,2020-09-30,Phoenix,Maricopa,AZ,85048,US,101.0,10.0,0.0,0.0,Fair,Day,False,False,Wednesday,9,30,2020,Autumn
2818,A-624844,201,2,2020-09-30,2020-09-30,Phoenix,Maricopa,AZ,85042,US,104.0,10.0,8.0,0.0,Fair,Day,False,True,Wednesday,9,30,2020,Autumn
2819,A-624845,201,2,2020-09-30,2020-09-30,Phoenix,Maricopa,AZ,85043,US,102.0,10.0,3.0,0.0,Fair,Day,False,False,Wednesday,9,30,2020,Autumn
2820,A-624846,201,2,2020-09-30,2020-09-30,Anthem,Maricopa,AZ,85086,US,100.0,10.0,7.0,0.0,Fair,Day,False,False,Wednesday,9,30,2020,Autumn
2821,A-624847,201,2,2020-09-30,2020-09-30,Glendale,Maricopa,AZ,85301,US,103.0,10.0,6.0,0.0,Fair,Day,False,True,Wednesday,9,30,2020,Autumn
2823,A-624849,201,2,2020-09-30,2020-09-30,Phoenix,Maricopa,AZ,85004,US,103.0,10.0,5.0,0.0,Fair,Day,False,True,Wednesday,9,30,2020,Autumn
2824,A-624850,201,2,2020-09-30,2020-09-30,Tempe,Maricopa,AZ,85282,US,103.0,10.0,5.0,0.0,Fair,Day,False,False,Wednesday,9,30,2020,Autumn
2825,A-624851,201,2,2020-09-30,2020-09-30,Mesa,Maricopa,AZ,85210,US,103.0,10.0,5.0,0.0,Fair,Day,False,True,Wednesday,9,30,2020,Autumn
2826,A-626505,201,2,2020-10-01,2020-10-01,El Mirage,Maricopa,AZ,85335,US,71.0,10.0,5.0,0.0,Fair,Night,False,True,Thursday,10,1,2020,Autumn
2828,A-626507,201,2,2020-10-01,2020-10-01,Glendale,Maricopa,AZ,85303,US,71.0,10.0,5.0,0.0,Fair,Night,False,False,Thursday,10,1,2020,Autumn
2829,A-626508,201,2,2020-10-01,2020-10-01,Peoria,Maricopa,AZ,85382,US,71.0,10.0,5.0,0.0,Fair,Night,False,False,Thursday,10,1,2020,Autumn
2832,A-626511,201,2,2020-10-01,2020-10-01,Phoenix,Maricopa,AZ,85008,US,80.0,10.0,3.0,0.0,Fair,Day,False,True,Thursday,10,1,2020,Autumn
2834,A-626513,201,2,2020-10-01,2020-10-01,Peoria,Maricopa,AZ,85383,US,82.0,10.0,0.0,0.0,Fair,Day,True,False,Thursday,10,1,2020,Autumn
2835,A-626514,201,2,2020-10-01,2020-10-01,Phoenix,Maricopa,AZ,85040,US,85.0,10.0,6.0,0.0,Fair,Day,False,True,Thursday,10,1,2020,Autumn
2836,A-626515,201,2,2020-10-01,2020-10-01,Scottsdale,Maricopa,AZ,85254,US,83.0,10.0,0.0,0.0,Fair,Day,False,True,Thursday,10,1,2020,Autumn
2837,A-626516,201,3,2020-10-01,2020-10-01,Phoenix,Maricopa,AZ,85003,US,90.0,10.0,7.0,0.0,Fair,Day,False,True,Thursday,10,1,2020,Autumn
2839,A-626518,245,3,2020-10-01,2020-10-01,Phoenix,Maricopa,AZ,85029,US,92.0,10.0,7.0,0.0,Fair,Day,False,False,Thursday,10,1,2020,Autumn
2841,A-626520,201,3,2020-10-01,2020-10-01,Tempe,Maricopa,AZ,85282,US,106.0,10.0,5.0,0.0,Fair,Day,False,False,Thursday,10,1,2020,Autumn
2844,A-626523,201,2,2020-10-01,2020-10-01,Phoenix,Maricopa,AZ,85021,US,102.0,10.0,8.0,0.0,Fair,Day,False,True,Thursday,10,1,2020,Autumn
2845,A-626524,201,2,2020-10-01,2020-10-01,Mesa,Maricopa,AZ,85201,US,104.0,10.0,0.0,0.0,Fair,Day,False,False,Thursday,10,1,2020,Autumn
2849,A-626528,201,2,2020-10-01,2020-10-01,Phoenix,Maricopa,AZ,85027,US,102.0,10.0,6.0,0.0,Fair,Day,False,True,Thursday,10,1,2020,Autumn
2851,A-626530,201,2,2020-10-01,2020-10-01,Mesa,Maricopa,AZ,85201,US,103.0,10.0,6.0,0.0,Fair,Night,False,False,Thursday,10,1,2020,Autumn
2852,A-628301,201,2,2020-10-02,2020-10-02,Goodyear,Maricopa,AZ,85395,US,70.0,10.0,6.0,0.0,Fair,Day,False,False,Friday,10,2,2020,Autumn
