,ID,TMC,Severity,Start_Time,End_Time,City,County,State,Zipcode,Country,Temperature(F),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition,Sunrise_Sunset,Stop,Traffic_Signal,Weekday,Month,Day,Year,Season
421,A-529615,201,3,2020-12-17,2020-12-17,Phoenix,Maricopa,AZ,85009,US,60.0,10.0,0.0,0.0,Mostly Cloudy,Night,False,False,Thursday,12,17,2020,Winter
422,A-529616,201,3,2020-12-17,2020-12-17,Phoenix,Maricopa,AZ,85009,US,60.0,10.0,0.0,0.0,Mostly Cloudy,Night,False,False,Thursday,12,17,2020,Winter
423,A-529617,201,2,2020-12-17,2020-12-17,Mesa,Maricopa,AZ,85210,US,60.0,10.0,0.0,0.0,Mostly Cloudy,Night,False,False,Thursday,12,17,2020,Winter
424,A-529618,201,2,2020-12-17,2020-12-17,Scottsdale,Maricopa,AZ,85256,US,60.0,10.0,0.0,0.0,Mostly Cloudy,Night,False,False,Thursday,12,17,2020,Winter
425,A-529619,201,2,2020-12-17,2020-12-17,Phoenix,Maricopa,AZ,85016,US,60.0,10.0,0.0,0.0,Mostly Cloudy,Night,False,False,Thursday,12,17,2020,Winter
426,A-529620,201,3,2020-12-17,2020-12-17,Phoenix,Maricopa,AZ,85043,US,51.0,10.0,5.0,0.0,Fair,Night,False,False,Thursday,12,17,2020,Winter
427,A-529621,201,3,2020-12-17,2020-12-17,Phoenix,Maricopa,AZ,85043,US,51.0,10.0,5.0,0.0,Fair,Night,False,False,Thursday,12,17,2020,Winter
431,A-529625,201,2,2020-12-17,2020-12-17,Youngtown,Maricopa,AZ,85363,US,46.0,10.0,6.0,0.0,Fair,Night,False,True,Thursday,12,17,2020,Winter
434,A-531445,201,2,2020-12-16,2020-12-16,Goodyear,Maricopa,AZ,85395,US,44.0,10.0,0.0,0.0,Fair,Day,False,False,Wednesday,12,16,2020,Winter
435,A-531446,201,2,2020-12-16,2020-12-16,Peoria,Maricopa,AZ,85383,US,44.0,10.0,0.0,0.0,Fair,Day,True,False,Wednesday,12,16,2020,Winter
438,A-531449,201,2,2020-12-16,2020-12-16,Surprise,Maricopa,AZ,85387,US,53.0,10.0,5.0,0.0,Fair,Day,False,False,Wednesday,12,16,2020,Winter
439,A-531450,201,2,2020-12-16,2020-12-16,Morristown,Maricopa,AZ,85342,US,53.0,10.0,5.0,0.0,Fair,Day,False,False,Wednesday,12,16,2020,Winter
